stop_id,stop_name,stop_lat,stop_lon,routes
160243,SETÚBAL (AV ALENTEJO) X (4 CAMINHOS),38.532440,-8.873920,4409_0|4540_0|4540_1|4542_0|4543_0|4544_0|4544_1
160245,SETÚBAL (AV PEDRO ÁLVARES CABRAL 11),38.531200,-8.875510,4409_0|4906_0|4906_1
160246,SETÚBAL (AV PEDRO ÁLVARES CABRAL 11) _,38.531200,-8.875270,4540_0|4540_1|4542_0|4543_0|4544_0|4544_2|4906_0
160247,SETÚBAL (R LÁCIA ENCARNAÇÃO MARACOTO 5),38.529590,-8.873510,4409_0|4434_0|4434_1
160249,SETÚBAL (R JOSÉ LEITE VASCONCELOS 13),38.528900,-8.874110,4409_0|4434_0|4434_1
160251,SETÚBAL (R JORGE SOUSA 18),38.528050,-8.894510,4409_0|4430_0|4434_0|4434_1
160253,EN 10 KM38 - POSTO COMBUSTIVEL,38.530390,-8.898840,3605_0|4409_0|4430_0|4432_0|4641_0|4642_0|4730_0|4730_1|4730_2
160254,EN 10 KM38 - POSTO COMBUSTIVEL,38.530520,-8.898670,3605_0|4409_0|4432_0|4641_0|4642_0|4730_0|4730_1|4730_2
160255,SETÚBAL (R ALVES SILVA 12),38.526840,-8.900330,4409_0|4421_0|4425_0|4425_1|4426_0|4426_1|4426_2|4429_0|4433_0
160256,SETÚBAL (R ALVES SILVA 12),38.526920,-8.900270,4409_0|4421_0|4425_0|4426_0|4426_1|4426_3|4429_0|4433_0
160257,SETÚBAL (R NOSSA S CARMO) ESC,38.525890,-8.902100,4409_0|4422_0|4422_2|4425_0|4426_0|4426_1|4426_3|4428_0|4429_0
160259,SETÚBAL (R BATALHA VISO 103) C SAÚDE,38.525100,-8.905360,4409_0|4422_0|4422_1|4425_0|4425_1|4426_0|4426_1|4426_2|4428_0|4429_0
160260,SETÚBAL (R BATALHA VISO 103) C SAÚDE,38.525200,-8.905360,4409_0|4422_0|4422_2|4425_0|4426_0|4426_1|4426_3|4428_0|4429_0
160261,SETÚBAL (R BATALHA VISO 84),38.525780,-8.907740,4409_0|4422_1|4425_0|4425_1|4426_0|4426_1|4426_2
160262,SETÚBAL (R BATALHA VISO 84),38.525810,-8.907690,4409_0|4425_0|4426_0|4426_1|4426_3|4426_4
160263,SETÚBAL (R BATALHA VISO 203),38.526040,-8.909980,4409_0|4425_0|4426_0|4426_1|4426_3|4426_4
160264,SETÚBAL (R BATALHA VISO 203),38.526000,-8.909910,4409_0|4422_1|4425_0|4425_1|4426_0|4426_1|4426_2
160265,SETÚBAL (Bº NOVO VISO) ASSOC MORADORES,38.524730,-8.912110,4409_0|4425_0|4426_0|4426_1|4426_3|4426_4
160266,SETÚBAL (Bº NOVO VISO) ASSOC MORADORES,38.524700,-8.912010,4409_0|4422_1|4425_0|4425_1|4426_0|4426_1|4426_2
160268,SETÚBAL ( ESC SECUNDÁRIA VISO),38.522900,-8.915670,4409_0|4425_0|4426_1|4426_2|4426_3|4426_4
160269,SETÚBAL (R BATALHA VISO 49) ESC,38.525540,-8.902350,4409_0|4422_0|4422_1|4425_0|4425_1|4426_0|4426_1|4426_2|4428_0|4429_0
160271,SETÚBAL (R GEN DANIEL SOUSA 110),38.530510,-8.898390,4409_0|4430_0|4434_0|4434_1
160272,SETÚBAL (R GEN DANIEL SOUSA 110),38.530500,-8.898280,4409_0|4430_0|4434_0|4434_1
160273,SETÚBAL (R JORGE SOUSA 12),38.527470,-8.894020,4409_0|4430_0|4434_0|4434_1
160275,AV PEDRO ÁLVARES CABRAL 11,38.531500,-8.875290,4409_0|4546_0|4548_0|4901_0|4901_1
160279,SETÚBAL (AV. JÚLIO SANTOS),38.522300,-8.859990,4410_0
160281,SETÚBAL (AV JOAQUIM CAMPOS D),38.520200,-8.862060,4410_0
160283,PARQUE DA BELA VISTA,38.517180,-8.864500,4410_0
160285,SETÚBAL (AV BELA VISTA 14),38.521960,-8.867760,4410_0|4417_0|4418_0|4442_0|4545_0
160286,SETÚBAL (AV BELA VISTA 14),38.522090,-8.867600,4442_0|4442_1|4545_0
160287,ESTR ALGERUZ (CEMITÉRIO) X,38.543360,-8.860730,4410_0|4416_0|4417_0|4428_0|4433_0|4541_0|4542_0|4545_0
160289,ESTR ALGERUZ (VALE ANA GOMES) X,38.544870,-8.855810,4410_0|4416_0|4417_0|4428_0|4433_0|4541_0|4542_0|4543_0|4545_0
160291,QTA AMIZADE,38.543560,-8.851720,4433_0
160293,ESTR ALGERUZ (VALE ANA GOMES) X,38.545050,-8.856080,4410_0|4416_0|4417_0|4428_0|4433_0|4541_0|4542_0|4543_0|4545_0
160295,ESTR ALGERUZ (CEMITÉRIO) X,38.543620,-8.860340,4410_0|4416_0|4417_0|4428_0|4433_0|4541_0|4542_0|4543_0|4545_0
160296,ESTR ALGERUZ (CEMITÉRIO) X _,38.543540,-8.860220,4543_0
160297,SETÚBAL (AV CORAÇÃO MARIA) C COMERCIAL,38.536700,-8.875220,4410_0|4416_0|4417_0|4418_0|4420_0|4421_0|4422_0|4422_1|4433_0|4440_0|4541_0
160299,SETÚBAL (AV NATÁLIA CORREIA 8),38.516950,-8.864480,4410_0
160301,SETÚBAL (AV JOAQUIM CAMPOS),38.520070,-8.861890,4410_0
160303,SETÚBAL (AV JÚLIO SANTOS),38.522300,-8.859780,4410_0
160305,MORGADA,38.520961,-8.792252,4411_0|4412_0
160306,MORGADA _,38.520870,-8.792150,4411_0|4412_0|4413_0
160307,ESTR MORGADA ( 42),38.521000,-8.795730,4411_0|4412_0|4413_0
160308,ESTR MORGADA ( 42),38.521100,-8.795720,4411_0|4412_0
160309,ESTR MORGADA (96),38.521200,-8.799480,4411_0|4412_0|4413_0
160310,ESTR MORGADA (96),38.521300,-8.799480,4411_0|4412_0
160311,ESTR MORGADA (182),38.521500,-8.803840,4411_0|4412_0|4413_0
