stop_id,stop_lat,stop_lon,stop_name,imd_id
080857,38.939912,-9.349059,Av Dr Francisco Sá Carneiro,21602
080856,38.939446,-9.351095,Em 549 (Qta da Figueira Brava),21603
080855,38.939283,-9.351230,Em 549 (Qta da Figueira Brava),21604
080854,38.935600,-9.356800,Em 1190 (Casa Geraldes),21605
080853,38.935500,-9.356780,Em 1190 (Casa Geraldes),21606
080852,38.935200,-9.359410,Em 1190 (X) R Casal Além,21607
080851,38.935100,-9.359410,Em 1190 (X) R Casal Além,21608
080850,38.938900,-9.359750,Em 549 (X) Gonçalvinhos,21609
080847,38.940180,-9.365513,Em 549 20,21611
080845,38.938296,-9.372800,R da Igreja 22,21612
080844,38.939574,-9.370178,R da Igreja (X) Urzal,21613
080843,38.939453,-9.370210,R da Igreja (X) Urzal,21614
080842,38.939610,-9.364140,Em 549 (X) R dos Lavadouros,21615
080841,38.939700,-9.364060,Em 549 (X) R dos Lavadouros,21616
080839,38.940165,-9.365648,R da Coroa 14,21618
080838,38.942100,-9.366600,Em 549 (X) Fontainhas,21619
080837,38.942202,-9.366657,Em 549 (X) Fontainhas,21620
080836,38.945814,-9.372577,Em 549 (X) R Jardim das Amoreiras,21621
080835,38.945878,-9.372475,Em 549 (X) R Jardim das Amoreiras,21622
080834,38.946944,-9.376214,Em 549 51,21623
080833,38.947023,-9.376119,Em 549 51,21624
080832,38.947291,-9.380617,Em 549 (X) R DO Moinho,21625
080831,38.947151,-9.380577,Em 549 (X) R DO Moinho,21626
080830,38.945297,-9.383018,R das Casas Velhas 4,21627
080829,38.945160,-9.383252,R das Casas Velhas 4,21628
080828,38.950091,-9.394608,Estr da Sra do Ó 58,21629
080827,38.949954,-9.394578,Estr da Sra do Ó 58,21630
080826,38.945080,-9.395249,Estr da Sra do Ó 25,21631
080825,38.945043,-9.395127,Estr da Sra do Ó 25,21632
080824,38.948381,-9.409987,Em 550 55,21633
080823,38.948466,-9.410037,Em 550 55,21634
080819,38.965417,-9.389659,Praceta do Vale de Janeiro 11,21635
080817,38.942369,-9.332293,R Prof Guilherme de Assunção 22,21636
080816,38.950724,-9.332078,En 116 (X) R do Moinho,21637
080815,38.950708,-9.331814,En 116 (X) R do Moinho,21638
080814,38.952755,-9.336232,En 116 (X) R do Meio,21639
080813,38.952787,-9.335981,En 116 (X) R do Meio,21640
080812,38.955127,-9.340387,En 116 (X) R dos Oleiros (Mougueta),21641
080811,38.954995,-9.340403,En 116 (X) R dos Oleiros (Mougueta),21642
080809,39.004033,-9.416208,Estr do Albarral 42,21643
080806,39.046838,-9.399564,En 247 (X) R Flores,21644
080805,39.046232,-9.399492,En 247 (X) R Flores,21645
080804,39.035115,-9.411956,EM1161 11 (Calada),21646
080802,39.005317,-9.419480,R S João (X) En 247,21647
080801,39.005230,-9.419462,R S João (X) En 247,21648
080800,39.005155,-9.417643,R S João 6,21649
080799,39.005250,-9.417637,R S João 6,21650
080797,39.003989,-9.416028,Estr do Albarral 42,21651
080793,38.952388,-9.413516,R 1 de Maio 1,21653
080791,38.951887,-9.409917,Tv 1 de Maio 16,21654
080789,38.950423,-9.408501,Em 550 74,21655
080788,38.952311,-9.406468,Em 550 27 (X) R da Figueira,21656
080787,38.952260,-9.406329,Em 550 27 (X) R da Figueira,21657
080786,38.952911,-9.403434,Em 550 24 (Escola),21658
080785,38.953039,-9.403516,Em 550 24 (Escola),21659
080784,38.955794,-9.401078,Estr da Lapa da Serra 28,21660
080783,38.955705,-9.400871,Estr da Lapa da Serra 28,21661
080782,38.961822,-9.399767,R da Condessa 5,21662
080781,38.961655,-9.399674,R da Condessa 5,21663
080779,38.968500,-9.400661,Estr do Outeirinho 67,21664
080777,38.967264,-9.393590,R das Roseiras 4,21665
080776,38.968200,-9.398039,Estr do Outeirinho 67,21666
080775,38.968355,-9.398060,Estr do Outeirinho 67,21667
080773,38.971317,-9.396431,Praceta do Lavadouro 10,21668
080771,38.979023,-9.413383,R Casal Piolho 18,21669
080769,38.981594,-9.413928,Rua Mira Parque Nº 2 Casal Carido,21670
080766,38.968906,-9.412731,Rua do Emigrante,21671
080765,38.968994,-9.412635,Rua do Emigrante,21672
080764,38.968965,-9.414564,R Cel Bento Roma 25,21673
080763,38.969073,-9.414532,R Cel Bento Roma 25,21674
080761,38.963949,-9.415773,R Prudêncio Franco da Trindade 9B,21675
080736,38.961669,-9.415657,R Eduardo Henriques Pereira 4,21676
080750,38.985091,-9.413408,R Casal Carido 11,21677
080747,38.976185,-9.413322,Praceta Abadia 1,21678
080745,38.960729,-9.417116,Praça dos Navegantes 22,21679
080744,38.987456,-9.418192,En 247 (Ericeira),21680
080743,38.987400,-9.418240,En 247 (Ericeira),21681
080739,38.970217,-9.419462,R Porto Revez 3A,21682
080737,38.961462,-9.417762,R do Ericeira 18B,21683
080759,38.961716,-9.415421,R Eduardo Henriques Pereira 4,21684
080734,38.948169,-9.414639,En 247 (Pta do Miradouro),21685
080733,38.947966,-9.414539,En 247 (Pta do Miradouro),21686
080732,38.941300,-9.413335,R Brejo 1,21687
080731,38.941305,-9.413339,R Brejo 1,21688
080728,38.994689,-9.254224,R Principal 29 (Gradil),21691
080727,38.994608,-9.254139,R Principal 29 (Gradil),21692
080726,38.988215,-9.268345,En 9-2 (X) Casas Novas,21693
080725,38.988006,-9.268321,En 9-2 (X) Casas Novas,21694
080720,38.982348,-9.280922,R Movimento Forças Armadas 33,21695
080719,38.982395,-9.280815,R Movimento Forças Armadas 33,21696
080718,38.982029,-9.280026,R Direita 37,21697
080717,38.982096,-9.280002,R Direita 37,21698
080716,38.980186,-9.280667,R Direita 14,21699
080715,38.980241,-9.280613,R Direita 14,21700
080714,38.975600,-9.271750,R Direita (X) R Vitor Seixo,21701
080713,38.975600,-9.271710,R Direita (X) R Vitor Seixo,21702
080712,38.967500,-9.270130,R Direita 9 (Gradil),21703
080711,38.967500,-9.270150,R Direita 9 (Gradil),21704
080710,38.965400,-9.267950,R Direita (Gradil),21705
080709,38.965400,-9.267910,R Direita (Gradil),21706
080708,38.964700,-9.266500,R Direita (Gradil),21707
080707,38.964700,-9.266480,R Direita (Gradil),21708
080706,38.966701,-9.262774,En 8 (Qta Fonte),21709
080705,38.966824,-9.262583,En 8 (Qta Fonte),21710
080704,38.970033,-9.260266,En 8 30,21711
080703,38.969855,-9.260299,En 8 30,21712
080702,38.971494,-9.257227,En 8 55 (X) Enxara Bispo,21713
080701,38.971757,-9.256913,En 8 55 (X) Enxara Bispo,21714
080700,39.005191,-9.367970,Estr dos Fortes 6,21715
080699,39.005126,-9.367716,Estr dos Fortes 6,21716
